Job Title,company_txt,Location,job_simp,seniority,predicted_opportunity_score,opportunity_band,years_experience,remote_yn,hybrid_yn,skill_count,detected_skills,explanation_preview
Data Scientist,First Tech Federal Credit Union,"Hillsboro, OR",data scientist,mid,100.0,high,3,0,0,10,"['Python', 'SQL', 'Tableau', 'AWS', 'Spark', 'Docker', 'Kubernetes', 'Machine Learning', 'Statistics', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist,First Tech Federal Credit Union,"Hillsboro, OR",data scientist,mid,100.0,high,3,0,0,10,"['Python', 'SQL', 'Tableau', 'AWS', 'Spark', 'Docker', 'Kubernetes', 'Machine Learning', 'Statistics', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist,KnowBe4,"Clearwater, FL",data scientist,mid,99.9,high,2,0,0,6,"['Python', 'SQL', 'Excel', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,CBS Interactive,"New York, NY",data scientist,mid,99.9,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Spark', 'Docker', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
Senior Data Scientist,Equity Residential,"Chicago, IL",data scientist,senior,99.9,high,1,0,0,8,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Senior Data Analyst,KnowBe4,"Clearwater, FL",data analyst,senior,99.9,high,0,0,0,6,"['Python', 'SQL', 'Excel', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Senior Data Scientist,Equity Residential,"Chicago, IL",data scientist,senior,99.9,high,1,0,0,8,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,KnowBe4,"Clearwater, FL",data scientist,mid,99.9,high,2,0,0,6,"['Python', 'SQL', 'Excel', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Senior Data Analyst,KnowBe4,"Clearwater, FL",data analyst,senior,99.9,high,0,0,0,6,"['Python', 'SQL', 'Excel', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,Genworth,"Raleigh, NC",data scientist,mid,99.8,high,4,0,0,8,"['Python', 'SQL', 'Tableau', 'AWS', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Lead Data Scientist,Visa Inc.,"Bellevue, WA",data scientist,senior,99.8,high,2,1,0,6,"['Python', 'SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Lead Data Scientist,Visa Inc.,"Bellevue, WA",data scientist,senior,99.8,high,2,1,0,6,"['Python', 'SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Data Engineer,Equity Residential,"Chicago, IL",data engineer,mid,99.8,high,2,0,0,7,"['Python', 'SQL', 'Excel', 'Spark', 'Airflow', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Marketing Data Analyst,San Manuel Casino,"Highland, CA",data analyst,mid,99.7,high,2,0,0,5,"['SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Marketing Data Analyst,San Manuel Casino,"Highland, CA",data analyst,mid,99.7,high,2,0,0,5,"['SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
MSP - Data & Analytics (DA),Daugherty Business Solutions,"Bloomington, MN",other,mid,99.7,high,0,0,0,9,"['Python', 'SQL', 'Power BI', 'AWS', 'Spark', 'Airflow', 'Docker', 'Kubernetes', 'Statistics']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist,Zimmerman Advertising,"Fort Lauderdale, FL",data scientist,mid,99.7,high,0,0,0,6,"['Python', 'SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
